author_name,rating
Walter Ehrmantraut,3
Phuoc Xuan,5
Bá An Nguyễn,5
Loc Tran,3
CTS Dragon,5
Almanbet Sherov,5
nhai briu,5
Thị Huệ Alăng,5
Briu Sơn,5
Nhụy Alăng,4
Vinh Tấn,5
Khong BichNgoc,3
Lê Thê Sô Kê,5
Vũ Huy Hoàng,4
la Tu,5
thuy doan,5
Kiên Nguyễn,5
Khánh Đoan Trần Lê,5
Jana Christmann,2
Janus Kiong,4
TC HONG,5
thao dang,5
Huan Quoc,5
Hứa Thị Nguyệt Quế,5
Giang Hồng,5
Gia Hân,5
Vy Le,5
Hội An Nem’s House,5
P,4
Phan Đạt,5
Duy Đăng,5
Thị Ngọc Ánh Võ,5
Dóe rong chơi,5
nhi luong,3
Trang Nguyen,5
HoaPhuong 27,5
Ngân Hoàng,5
Viết Hải Phan,5
Shadow Khue,5
Tùng nguyễn,5
Nhi Nguyễn,5
Thieu Quang Thang,4
Vũ Nguyễn,5
quang muahang,5
diệp nguyễn ngọc,5
Đông Hà Lê Thị,5
Lê Nguyễn Nhật Trường,5
nguyên thảo,5
Thanh Hương Đinh,5
Trân Phạm,5
Bùi Hồ Tâm Anh (Evelynn),5
Bảo Ngọc Bùi Hồ,5
Binh Nguyen,5
Thị Bích Thùy Nguyễn,5
hieu tran,5
Lynn Phương,5
Sang Truongxuan,5
Kaames Logan,5
tuan nguyen,5
Hồng Yến,5
Việt Hoàng Ngô,5
T. Sweetheart,5
Quân Nguyễn Đắc Hoàng Minh,5
Lê Thị Tường Vi (Libi),5
Trang Lê Thị Minh,5
Huyền Huỳnh Thị Ngọc,5
Cát Tường Ngô,5
thuyphuong ngo,5
Nguyễn Bảo,2
Quốc cường Nguyễn,5
Dung Y,5
Chung Huynh vlog,5
Vương Võ Minh,5
Nhật Thái,1
Trương Minh Quang,5
nhi ý ngô trần,1
Khánh Trình,5
Hồng Hông,5
thuan le,5
Huy Nguyễn Minh,5
Lukáš Hopper,5
Vy Nhật,5
Duc Duy Bui,5
Byeong Park,4
Tiến Nguyễn,5
Đặng Đức Vũ,4
Xuân Trinh Đoàn,5
pops cho,3
Hoàng Đặng,5
Ngọc Lê Nho,5
